typed ident      	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
92 	HD 206860              	V* HN Peg                	BY*	326.13053828 +14.77193906  	     ~	 6.53 	 5.950	 6.16 	 5.3  	G0V            	 394	   1
93 	HD 207129              	LTT 8704                 	PM*	327.06562709 -47.30361562  	     ~	 6.18 	 5.58 	     ~	     ~	G2V            	 246	   0
94 	HD 217357              	HD 217357                	PM*	345.0671763 -22.5243469    	10.494	 9.251	 7.869	 7.014	 6.238	K7+Vk          	 138	   0
95 	HD 20807               	* zet02 Ret              	** 	049.55341052 -62.50636244  	     ~	 5.84 	 5.24 	     ~	     ~	G1V            	 283	   0
96 	HD 10647               	* q01 Eri                	PM*	025.6221446 -53.7408311    	     ~	 6.05 	 5.52 	     ~	     ~	F9V            	 224	   1
97 	HD 1100                	HD 1100                  	RG*	003.8177808 -06.1382142    	     ~	 8.77 	 7.76 	     ~	     ~	K0III          	   8	   0
98 	HD 131496              	HD 131496                	*  	223.3459512 +18.2354075    	 9.713	 8.828	 7.80 	     ~	     ~	K0             	  20	   1
99 	HD 142091              	* kap CrB                	PM*	237.80804694 +35.65737975  	 6.69 	 5.82 	 4.82 	 4.06 	 3.57 	K1IVa          	 201	   1
100	HD 208585              	HD 208585                	*  	329.22168900 +17.43978357  	     ~	 8.94 	 8.00 	     ~	     ~	K0             	   5	   0
101	HD 210702              	HD 210702                	*  	332.96387858 +16.04055286  	     ~	 6.896	 5.930	     ~	     ~	K0III          	  59	   1
102	HD 128311              	HD 128311                	BY*	219.00233452 +09.74651755  	 9.232	 8.441	 7.446	 6.895	 6.425	K3V            	 228	   1
103	HD 192263              	HD 192263                	BY*	303.4993567 -00.8668806    	 9.447	 8.724	 7.767	 7.231	 6.771	K1/2V          	 180	   1
104	GJ 581                 	BD-07 4003               	BY*	229.8617787 -07.7222747    	13.403	11.76 	10.560	 9.461	 8.911	M3V            	 457	   2
105	HD 218396              	HD 218396                	El*	346.8696479 +21.1342514    	     ~	 6.21 	 5.953	     ~	     ~	F0+VkA5mA5     	 723	   1
106	HD 15407               	HD 15407                 	PM*	037.7110675 +55.5484047    	     ~	 7.43 	 6.95 	     ~	     ~	F5V            	  51	   0
107	HD 121191              	HD 121191                	*  	208.828579 -53.528619      	     ~	 8.40 	 8.16 	     ~	     ~	A5IV/V         	  10	   0
108	HD 131488              	HD 131488                	*  	223.7834425 -41.1203947    	     ~	 8.09 	 8.00 	     ~	     ~	A1V            	   9	   0
109	HD 23514               	HD 23514                 	*iC	056.6599704 +22.9197767    	 9.95 	 9.93 	 9.43 	 8.96 	 8.84 	F5V            	  85	   0
110	HD 15745               	HD 15745                 	PM*	038.2325454 +37.3336222    	     ~	 7.84 	 7.49 	     ~	 7.05 	F0             	  46	   0
